Day_Count,Day,StoreID,ProductName,Product_Calorie,Promo_applied,specials,mods,Amt,weather,Inflation_Percentage,Unemployment_Percentage
65,Wednesday,S001,VBurger,625,,No,No,10375.0,hot,3.0,1.9
66,Thursday,S001,VBurger,625,,No,No,10500.0,hot,3.0,1.9
67,Friday,S001,VBurger,625,,No,No,13750.0,hot,3.0,1.9
68,Saturday,S001,VBurger,625,,No,No,12875.0,very hot,3.0,1.9
69,Sunday,S001,VBurger,625,,No,No,12625.0,very hot,3.0,1.9
70,Monday,S001,VBurger,625,,No,No,9375.0,hot,3.0,1.9
71,Tuesday,S001,VBurger,625,,No,No,10375.0,cold,3.0,1.9
72,Wednesday,S001,VBurger,625,,No,No,10375.0,cold,3.0,1.9
73,Thursday,S001,VBurger,625,,No,No,11625.0,cold,3.0,1.9
74,Friday,S001,VBurger,625,,No,No,14750.0,cold,3.0,1.9
75,Saturday,S001,VBurger,625,,No,No,12625.0,very hot,3.0,1.9
76,Sunday,S001,VBurger,625,,No,No,13250.0,hot,3.0,1.9
77,Monday,S001,VBurger,625,,No,No,8875.0,very hot,3.0,1.9
78,Tuesday,S001,VBurger,625,,No,No,9875.0,humid,3.0,1.9
79,Wednesday,S001,VBurger,625,,No,No,9750.0,rainy,3.0,1.9
80,Thursday,S001,VBurger,625,,No,No,10625.0,rainy,3.0,1.9
81,Friday,S001,VBurger,625,,No,No,14500.0,cold,3.0,1.9
82,Saturday,S001,VBurger,625,,No,No,13500.0,hot,3.0,1.9
83,Sunday,S001,VBurger,625,,No,No,13250.0,hot,3.0,1.9
84,Monday,S001,VBurger,625,,No,No,10500.0,cold,3.0,1.9
85,Tuesday,S001,VBurger,625,,No,No,9250.0,very hot,3.0,1.9
86,Wednesday,S001,VBurger,625,,No,No,10875.0,cold,3.0,1.9
87,Thursday,S001,VBurger,625,,No,No,11000.0,hot,3.0,1.9
88,Friday,S001,VBurger,625,,No,No,14000.0,hot,3.0,1.9
89,Saturday,S001,VBurger,625,,No,No,13250.0,hot,3.0,1.9
90,Sunday,S001,VBurger,625,,No,No,8500.0,very hot,3.0,1.9
91,Monday,S001,VBurger,625,,No,No,6375.0,very hot,3.0,1.9
92,Tuesday,S001,VBurger,625,,No,No,7125.0,cold,3.0,1.9
93,Wednesday,S001,VBurger,625,,No,No,6875.0,very hot,3.0,1.9
94,Thursday,S001,VBurger,625,,No,No,7625.0,hot,3.0,1.9
95,Friday,S001,VBurger,625,,No,No,10250.0,cold,3.0,1.9
96,Saturday,S001,VBurger,625,,No,No,9375.0,hot,3.0,1.9
97,Sunday,S001,VBurger,625,,No,No,8750.0,very hot,3.0,1.9
98,Monday,S001,VBurger,625,,No,No,7125.0,cold,3.0,1.9
99,Tuesday,S001,VBurger,625,,No,No,6750.0,hot,3.0,1.9
100,Wednesday,S001,VBurger,625,,No,No,7000.0,hot,3.0,1.9
101,Thursday,S001,VBurger,625,,No,No,7500.0,cold,3.0,1.9
102,Friday,S001,VBurger,625,,No,No,9125.0,very hot,3.0,1.9
103,Saturday,S001,VBurger,625,,No,No,9125.0,very hot,3.0,1.9
104,Sunday,S001,VBurger,625,,No,No,9125.0,hot,3.0,1.9
105,Monday,S001,VBurger,625,,No,No,7000.0,hot,3.0,1.9
106,Tuesday,S001,VBurger,625,,No,No,6375.0,very hot,3.0,1.9
107,Wednesday,S001,VBurger,625,,No,No,6625.0,very hot,3.0,1.9
108,Thursday,S001,VBurger,625,,No,No,7875.0,hot,2.8,2.2
109,Friday,S001,VBurger,625,,No,No,9625.0,hot,2.8,2.2
110,Saturday,S001,VBurger,625,,No,No,9250.0,very cold,2.8,2.2
111,Sunday,S001,VBurger,625,,No,No,9375.0,hot,2.8,2.2
112,Monday,S001,VBurger,625,,No,No,6625.0,hot,2.8,2.2
113,Tuesday,S001,VBurger,625,,No,No,7000.0,very cold,2.8,2.2
114,Wednesday,S001,VBurger,625,,No,No,7625.0,cold,2.8,2.2
115,Thursday,S001,VBurger,625,,No,No,7625.0,humid,2.8,2.2
116,Friday,S001,VBurger,625,,No,No,9625.0,hot,2.8,2.2
117,Saturday,S001,VBurger,625,,No,No,9250.0,very cold,2.8,2.2
118,Sunday,S001,VBurger,625,,No,No,8375.0,rainy,2.8,2.2
119,Monday,S001,VBurger,625,,No,No,6625.0,hot,2.8,2.2
120,Tuesday,S001,VBurger,625,,No,No,6500.0,very hot,2.8,2.2
121,Wednesday,S001,VBurger,625,,No,No,7000.0,very hot,2.8,2.2
122,Thursday,S001,VBurger,625,,No,No,7125.0,very hot,2.8,2.2
123,Friday,S001,VBurger,625,,No,No,9875.0,hot,2.8,2.2
124,Saturday,S001,VBurger,625,,No,No,10000.0,cold,2.8,2.2
125,Sunday,S001,VBurger,625,,No,No,9250.0,very cold,2.8,2.2
126,Monday,S001,VBurger,625,,No,No,6750.0,hot,2.8,2.2
127,Tuesday,S001,VBurger,625,,No,No,6375.0,very hot,2.8,2.2
128,Wednesday,S001,VBurger,625,,No,No,6875.0,very hot,2.8,2.2
129,Thursday,S001,VBurger,625,,No,No,7375.0,very hot,2.8,2.2
130,Friday,S001,VBurger,625,,No,No,9500.0,humid,2.8,2.2
131,Saturday,S001,VBurger,625,,No,No,8875.0,very hot,2.8,2.2
132,Sunday,S001,VBurger,625,,No,No,9125.0,very cold,2.8,2.2
133,Monday,S001,VBurger,625,,No,No,6375.0,very hot,2.8,2.2
134,Tuesday,S001,VBurger,625,,No,No,6375.0,very hot,2.8,2.2
135,Wednesday,S001,VBurger,625,,No,No,7125.0,humid,2.8,2.2
136,Thursday,S001,VBurger,625,,No,No,7375.0,hot,2.8,2.2
137,Friday,S001,VBurger,625,,No,No,10125.0,cold,2.8,2.2
138,Saturday,S001,VBurger,625,,No,No,9000.0,very hot,2.8,2.2
139,Sunday,S001,VBurger,625,,No,No,9125.0,hot,2.8,2.2
140,Monday,S001,VBurger,625,,No,No,6250.0,very hot,2.8,2.2
141,Tuesday,S001,VBurger,625,,No,No,6625.0,very hot,2.8,2.2
142,Wednesday,S001,VBurger,625,,No,No,7500.0,cold,2.8,2.2
143,Thursday,S001,VBurger,625,,No,No,7625.0,cold,2.8,2.2
144,Friday,S001,VBurger,625,,No,No,10125.0,cold,2.8,2.2
145,Saturday,S001,VBurger,625,,No,No,9375.0,hot,2.8,2.2
146,Sunday,S001,VBurger,625,,No,No,9125.0,humid,2.8,2.2
147,Monday,S001,VBurger,625,,No,No,6375.0,very hot,2.8,2.2
148,Tuesday,S001,VBurger,625,,No,No,6625.0,rainy,2.8,2.2
149,Wednesday,S001,VBurger,625,,No,No,7000.0,very hot,2.8,2.2
150,Thursday,S001,VBurger,625,,No,No,7375.0,very hot,2.8,2.2
151,Friday,S001,VBurger,625,,No,No,9625.0,hot,2.8,2.2
152,Saturday,S001,VBurger,625,,No,No,13750.0,hot,2.8,2.2
153,Sunday,S001,VBurger,625,,No,No,12500.0,very hot,2.8,2.2
154,Monday,S001,VBurger,625,,No,No,10500.0,cold,2.8,2.2
155,Tuesday,S001,VBurger,625,,No,No,9625.0,hot,2.8,2.2
156,Wednesday,S001,VBurger,625,,No,No,9625.0,very hot,2.8,2.2
157,Thursday,S001,VBurger,625,,No,No,11500.0,cold,2.8,2.2
158,Friday,S001,VBurger,625,,No,No,13125.0,very hot,2.8,2.2
159,Saturday,S001,VBurger,625,,No,No,13250.0,hot,2.8,2.2
160,Sunday,S001,VBurger,625,,No,No,13750.0,cold,2.8,2.2
161,Monday,S001,VBurger,625,,No,No,9250.0,very hot,2.8,2.2
162,Tuesday,S001,VBurger,625,,No,No,9500.0,very hot,2.8,2.2
163,Wednesday,S001,VBurger,625,,No,No,10375.0,hot,2.8,2.2
164,Thursday,S001,VBurger,625,,No,No,10375.0,humid,2.8,2.2
165,Friday,S001,VBurger,625,,No,No,13000.0,very hot,2.8,2.2
166,Saturday,S001,VBurger,625,,No,No,14000.0,cold,2.8,2.2
167,Sunday,S001,VBurger,625,,No,No,12500.0,very hot,2.8,2.2
168,Monday,S001,VBurger,625,,No,No,9250.0,very hot,2.8,2.2
169,Tuesday,S001,VBurger,625,,No,No,10000.0,hot,2.8,2.2
170,Wednesday,S001,VBurger,625,,No,No,10000.0,hot,2.8,2.2
171,Thursday,S001,VBurger,625,,No,No,10750.0,hot,2.8,2.2
172,Friday,S001,VBurger,625,,No,No,13750.0,hot,2.8,2.2
173,Saturday,S001,VBurger,625,,No,No,14125.0,cold,2.8,2.2
174,Sunday,S001,VBurger,625,,No,No,12125.0,very hot,2.8,2.2
175,Monday,S001,VBurger,625,,No,No,9750.0,cold,2.8,2.2
176,Tuesday,S001,VBurger,625,,No,No,9750.0,rainy,2.8,2.2
177,Wednesday,S001,VBurger,625,,No,No,10000.0,hot,2.8,2.2
178,Thursday,S001,VBurger,625,,No,No,10875.0,cold,2.8,2.2
179,Friday,S001,VBurger,625,,No,No,13625.0,very hot,2.8,2.2
180,Saturday,S001,VBurger,625,,No,No,13625.0,very hot,2.8,2.2
181,Sunday,S001,VBurger,625,,No,No,13375.0,very hot,2.8,2.2
182,Monday,S001,VBurger,625,,No,No,10125.0,humid,2.8,2.2
183,Tuesday,S001,VBurger,625,,No,No,10375.0,hot,2.8,2.2
184,Wednesday,S001,VBurger,625,,No,No,10375.0,rainy,2.8,2.2
185,Thursday,S001,VBurger,625,,No,No,10625.0,very hot,2.8,2.2
186,Friday,S001,VBurger,625,,No,No,14875.0,hot,2.8,2.2
187,Saturday,S001,VBurger,625,,No,No,14000.0,hot,2.8,2.2
188,Sunday,S001,VBurger,625,,No,No,14625.0,cold,2.8,2.2
189,Monday,S001,VBurger,625,,No,No,10250.0,humid,2.8,2.2
190,Tuesday,S001,VBurger,625,,No,No,11000.0,cold,2.8,2.2
191,Wednesday,S001,VBurger,625,,No,No,11500.0,cold,2.8,2.2
192,Thursday,S001,VBurger,625,,No,No,11375.0,cold,2.8,2.2
193,Friday,S001,VBurger,625,,No,No,15125.0,cold,2.8,2.2
194,Saturday,S001,VBurger,625,,No,No,14375.0,hot,2.8,2.2
195,Sunday,S001,VBurger,625,,No,No,14250.0,cold,2.8,2.2
196,Monday,S001,VBurger,625,,No,No,10000.0,very hot,2.8,2.2
197,Tuesday,S001,VBurger,625,,No,No,10375.0,hot,2.8,2.2
198,Wednesday,S001,VBurger,625,,No,No,10750.0,hot,2.8,2.2
199,Thursday,S001,VBurger,625,,No,No,11500.0,hot,2.8,2.2
200,6,S001,VBurger,625,,No,No,14375.0,humid,2.8,2.2
201,Saturday,S001,VBurger,625,,No,No,13625.0,very hot,2.2,3.2
202,Sunday,S001,VBurger,625,,No,No,14500.0,cold,2.2,3.2
203,Monday,S001,VBurger,625,,No,No,9750.0,very hot,2.2,3.2
204,Tuesday,S001,VBurger,625,,No,No,10375.0,hot,2.2,3.2
205,Wednesday,S001,VBurger,625,,No,No,10125.0,very hot,2.2,3.2
206,Thursday,S001,VBurger,625,,No,No,10750.0,very hot,2.2,3.2
207,Friday,S001,VBurger,625,,No,No,14500.0,hot,2.2,3.2
208,Saturday,S001,VBurger,625,,No,No,14375.0,hot,2.2,3.2
209,Sunday,S001,VBurger,625,,No,No,13000.0,very hot,2.2,3.2
210,Monday,S001,VBurger,625,,No,No,10000.0,rainy,2.2,3.2
211,Tuesday,S001,VBurger,625,,No,No,10750.0,cold,2.2,3.2
212,Wednesday,S001,VBurger,625,,No,No,10000.0,very hot,2.2,3.2
213,Thursday,S001,VBurger,625,Yes,No,No,11812.5,cold,2.2,3.2
214,Friday,S001,VBurger,625,Yes,No,No,13387.5,very hot,2.2,3.2
215,Saturday,S001,VBurger,625,Yes,No,No,13612.5,humid,2.2,3.2
216,Sunday,S001,VBurger,625,Yes,No,No,12600.0,very hot,2.2,3.2
217,Monday,S001,VBurger,625,Yes,No,No,9787.5,rainy,2.2,3.2
218,Tuesday,S001,VBurger,625,Yes,No,No,9675.0,very hot,2.2,3.2
219,Wednesday,S001,VBurger,625,Yes,No,No,10012.5,very hot,2.2,3.2
220,Thursday,S001,VBurger,625,Yes,No,No,11475.0,hot,2.2,3.2
221,Friday,S001,VBurger,625,Yes,No,No,15300.0,cold,2.2,3.2
222,Saturday,S001,VBurger,625,Yes,No,No,13500.0,very hot,2.2,3.2
223,Sunday,S001,VBurger,625,Yes,No,No,14287.5,cold,2.2,3.2
224,Monday,S001,VBurger,625,Yes,No,No,11025.0,cold,2.2,3.2
225,Tuesday,S001,VBurger,625,Yes,No,No,10800.0,cold,2.2,3.2
226,Wednesday,S001,VBurger,625,Yes,No,No,11362.5,cold,2.2,3.2
227,Thursday,S001,VBurger,625,Yes,No,No,11362.5,hot,2.2,3.2
228,Friday,S001,VBurger,625,Yes,No,No,13837.5,very hot,2.2,3.2
229,Saturday,S001,VBurger,625,,No,No,14000.0,very hot,2.2,3.2
230,Sunday,S001,VBurger,625,,No,No,12875.0,very hot,2.2,3.2
231,Monday,S001,VBurger,625,,No,No,9750.0,very hot,2.2,3.2
232,Tuesday,S001,VBurger,625,,No,No,10000.0,very hot,2.2,3.2
233,Wednesday,S001,VBurger,625,,No,No,10000.0,very hot,2.2,3.2
234,Thursday,S001,VBurger,625,,No,No,11125.0,hot,2.2,3.2
235,Friday,S001,VBurger,625,,No,No,13625.0,very hot,2.2,3.2
236,Saturday,S001,VBurger,625,,No,No,13000.0,very hot,2.2,3.2
237,Sunday,S001,VBurger,625,,No,No,14500.0,cold,2.2,3.2
238,Monday,S001,VBurger,625,,No,No,10375.0,cold,2.2,3.2
239,Tuesday,S001,VBurger,625,,No,No,9875.0,very hot,2.2,3.2
240,Wednesday,S001,VBurger,625,,No,No,10375.0,very hot,2.2,3.2
241,Thursday,S001,VBurger,625,,No,No,11500.0,cold,2.2,3.2
242,Friday,S001,VBurger,625,,No,No,14250.0,cold,2.2,3.2
243,Saturday,S001,VBurger,625,,No,No,13750.0,cold,2.2,3.2
244,Sunday,S001,VBurger,625,,No,No,12250.0,rainy,2.2,3.2
245,Monday,S001,VBurger,625,,No,No,9375.0,very hot,2.2,3.2
246,Tuesday,S001,VBurger,625,,No,No,10250.0,cold,2.2,3.2
247,Wednesday,S001,VBurger,625,,No,No,9875.0,very hot,2.2,3.2
248,Thursday,S001,VBurger,625,,No,No,11500.0,cold,2.2,3.2
249,Friday,S001,VBurger,625,,No,No,13750.0,hot,2.2,3.2
250,Saturday,S001,VBurger,625,,No,No,13000.0,hot,2.2,3.2
251,Sunday,S001,VBurger,625,,No,No,12875.0,humid,2.2,3.2
252,Monday,S001,VBurger,625,,No,No,9500.0,very hot,2.2,3.2
253,Tuesday,S001,VBurger,625,,No,No,10125.0,cold,2.2,3.2
254,Wednesday,S001,VBurger,625,,No,No,10000.0,very hot,2.2,3.2
255,Thursday,S001,VBurger,625,,No,No,11000.0,hot,2.2,3.2
256,Friday,S001,VBurger,625,,No,No,13125.0,very hot,2.2,3.2
257,Saturday,S001,VBurger,625,,No,No,13125.0,humid,2.2,3.2
258,Sunday,S001,VBurger,625,,No,No,12375.0,very hot,2.2,3.2
259,Monday,S001,VBurger,625,,No,No,9250.0,very hot,2.2,3.2
260,Tuesday,S001,VBurger,625,,No,No,9125.0,rainy,2.2,3.2
261,Wednesday,S001,VBurger,625,,No,No,10375.0,humid,2.2,3.2
262,Thursday,S001,VBurger,625,,No,No,10625.0,hot,2.2,3.2
263,Friday,S001,VBurger,625,,No,No,14125.0,cold,2.2,3.2
264,Saturday,S001,VBurger,625,,No,No,14125.0,cold,2.2,3.2
265,Sunday,S001,VBurger,625,,No,No,14000.0,cold,2.2,3.2
266,Monday,S001,VBurger,625,,No,No,9250.0,hot,2.2,3.2
267,Tuesday,S001,VBurger,625,,No,No,9250.0,very hot,2.2,3.2
268,Wednesday,S001,VBurger,625,,No,No,9625.0,very hot,2.2,3.2
269,Thursday,S001,VBurger,625,,No,No,10500.0,hot,2.2,3.2
270,Friday,S001,VBurger,625,,No,No,13500.0,hot,2.2,3.2
271,Saturday,S001,VBurger,625,,No,No,12750.0,rainy,2.2,3.2
272,Sunday,S001,VBurger,625,,No,No,12125.0,very hot,2.2,3.2
273,Monday,S001,VBurger,625,,No,No,8625.0,very hot,2.2,3.2
274,Tuesday,S001,VBurger,625,,No,No,9500.0,rainy,2.2,3.2
275,Wednesday,S001,VBurger,625,,No,No,10000.0,hot,2.2,3.2
276,Thursday,S001,VBurger,625,,No,No,10125.0,very hot,2.2,3.2
277,Friday,S001,VBurger,625,,No,No,13000.0,rainy,2.2,3.2
278,Saturday,S001,VBurger,625,,No,No,13000.0,hot,2.2,3.2
279,Sunday,S001,VBurger,625,,No,No,12625.0,hot,2.2,3.2
280,Monday,S001,VBurger,625,,No,No,8875.0,very hot,2.2,3.2
281,Tuesday,S001,VBurger,625,,No,No,9250.0,very hot,2.2,3.2
282,Wednesday,S001,VBurger,625,,No,No,10500.0,cold,2.2,3.2
283,Thursday,S001,VBurger,625,,No,No,9500.0,very hot,2.2,3.2
284,Friday,S001,VBurger,625,,No,No,13125.0,very hot,2.2,3.2
285,Saturday,S001,VBurger,625,,No,No,12625.0,rainy,2.2,3.2
286,Sunday,S001,VBurger,625,,No,No,12750.0,hot,2.2,3.2
287,Monday,S001,VBurger,625,,No,No,9875.0,hot,2.2,3.2
288,Tuesday,S001,VBurger,625,,No,No,9250.0,rainy,2.2,3.2
289,Wednesday,S001,VBurger,625,,No,No,9375.0,very hot,2.2,3.2
290,Thursday,S001,VBurger,625,,No,No,11000.0,hot,1.7,2.2
291,Friday,S001,VBurger,625,,No,No,12875.0,very hot,1.7,2.2
292,Saturday,S001,VBurger,625,,No,No,13750.0,hot,1.7,2.2
293,Sunday,S001,VBurger,625,,No,No,12625.0,humid,1.7,2.2
294,Monday,S001,VBurger,625,,No,No,9250.0,very hot,1.7,2.2
295,Tuesday,S001,VBurger,625,,No,No,9500.0,very hot,1.7,2.2
296,Wednesday,S001,VBurger,625,,No,No,10625.0,hot,1.7,2.2
297,Thursday,S001,VBurger,625,,No,No,10375.0,hot,1.7,2.2
298,Friday,S001,VBurger,625,,No,No,13875.0,hot,1.7,2.2
299,Saturday,S001,VBurger,625,,No,No,12875.0,very hot,1.7,2.2
300,Sunday,S001,VBurger,625,,No,No,13375.0,hot,1.7,2.2
301,Monday,S001,VBurger,625,,No,No,9625.0,hot,1.7,2.2
302,Tuesday,S001,VBurger,625,,No,No,9000.0,very hot,1.7,2.2
303,Wednesday,S001,VBurger,625,,No,No,11375.0,very hot,1.7,2.2
304,Thursday,S001,VBurger,625,,No,No,10125.0,cold,1.7,2.2
305,Friday,S001,VBurger,625,,No,No,14750.0,cold,1.7,2.2
306,Saturday,S001,VBurger,625,,No,No,13250.0,hot,1.7,2.2
307,Sunday,S001,VBurger,625,,No,No,12375.0,very hot,1.7,2.2
308,Monday,S001,VBurger,625,,No,No,10000.0,cold,1.7,2.2
309,Tuesday,S001,VBurger,625,,No,No,9500.0,humid,1.7,2.2
310,Wednesday,S001,VBurger,625,,No,No,9625.0,very hot,1.7,2.2
311,Thursday,S001,VBurger,625,,No,No,10625.0,hot,1.7,2.2
312,Friday,S001,VBurger,625,,No,No,14875.0,cold,1.7,2.2
313,Saturday,S001,VBurger,625,,No,No,12750.0,very hot,1.7,2.2
314,Sunday,S001,VBurger,625,,No,No,12250.0,very hot,1.7,2.2
315,Monday,S001,VBurger,625,,No,No,9625.0,humid,1.7,2.2
316,Tuesday,S001,VBurger,625,,No,No,9625.0,very hot,1.7,2.2
317,Wednesday,S001,VBurger,625,,No,No,10750.0,cold,1.7,2.2
318,Thursday,S001,VBurger,625,,No,No,10750.0,cold,1.7,2.2
319,Friday,S001,VBurger,625,,No,No,14500.0,cold,1.7,2.2
320,Saturday,S001,VBurger,625,,No,No,12875.0,very hot,1.7,2.2
321,Sunday,S001,VBurger,625,,No,No,12875.0,hot,1.7,2.2
322,Monday,S001,VBurger,625,,No,No,9750.0,hot,1.7,2.2
323,Tuesday,S001,VBurger,625,,No,No,10375.0,cold,1.7,2.2
324,Wednesday,S001,VBurger,625,,No,No,10625.0,cold,1.7,2.2
325,Thursday,S001,VBurger,625,,No,No,10125.0,very hot,1.7,2.2
326,Friday,S001,VBurger,625,,No,No,13000.0,very hot,1.7,2.2
327,Saturday,S001,VBurger,625,,No,No,13125.0,very hot,1.7,2.2
328,Sunday,S001,VBurger,625,,No,No,12500.0,very hot,1.7,2.2
329,Monday,S001,VBurger,625,,No,No,9500.0,rainy,1.7,2.2
330,Tuesday,S001,VBurger,625,,No,No,10500.0,cold,1.7,2.2
331,Wednesday,S001,VBurger,625,,No,No,9750.0,very hot,1.7,2.2
332,Thursday,S001,VBurger,625,,No,No,11375.0,cold,1.7,2.2
333,Friday,S001,VBurger,625,,No,No,13750.0,hot,1.7,2.2
334,Saturday,S001,VBurger,625,,No,No,13125.0,hot,1.7,2.2
335,Sunday,S001,VBurger,625,,No,No,12375.0,very hot,1.7,2.2
336,Monday,S001,VBurger,625,,No,No,9625.0,very hot,1.7,2.2
337,Tuesday,S001,VBurger,625,,No,No,10500.0,cold,1.7,2.2
338,Wednesday,S001,VBurger,625,,No,No,11000.0,cold,1.7,2.2
339,Thursday,S001,VBurger,625,,No,No,10250.0,very hot,1.7,2.2
340,Friday,S001,VBurger,625,,No,No,13125.0,very hot,1.7,2.2
341,Saturday,S001,VBurger,625,,No,No,14375.0,cold,1.7,2.2
342,Sunday,S001,VBurger,625,,No,No,12625.0,very hot,1.7,2.2
343,Monday,S001,VBurger,625,,No,No,9500.0,hot,1.7,2.2
344,Tuesday,S001,VBurger,625,,No,No,9375.0,rainy,1.7,2.2
345,Wednesday,S001,VBurger,625,,No,No,9750.0,very hot,1.7,2.2
346,Thursday,S001,VBurger,625,,No,No,10875.0,hot,1.7,2.2
347,Friday,S001,VBurger,625,,No,No,13625.0,hot,1.7,2.2
348,Saturday,S001,VBurger,625,,No,No,13875.0,cold,1.7,2.2
349,Sunday,S001,VBurger,625,,No,No,13875.0,cold,1.7,2.2
350,Monday,S001,VBurger,625,,No,No,9500.0,hot,1.7,2.2
351,Tuesday,S001,VBurger,625,,No,No,9500.0,very hot,1.7,2.2
352,Wednesday,S001,VBurger,625,,No,No,9625.0,very hot,1.7,2.2
353,Thursday,S001,VBurger,625,,No,No,11750.0,cold,1.7,2.2
354,Friday,S001,VBurger,625,,No,No,14625.0,cold,1.7,2.2
355,Saturday,S001,VBurger,625,,No,No,12875.0,very hot,1.7,2.2
356,Sunday,S001,VBurger,625,,No,No,12750.0,very hot,1.7,2.2
357,Monday,S001,VBurger,625,,No,No,9125.0,very hot,1.7,2.2
358,Tuesday,S001,VBurger,625,,No,No,9625.0,very hot,1.7,2.2
